start_time,end_time,state,confidence,latitude,longitude,duration,tower_jump,same_time_diff_state,cell_types,location_score,velocity,distance,vehicle_type,is_location_change_possible,conflict_resolution,discarded_state,resolved_by
01/03/22 22:24,01/03/22 22:24,,100,0.0,0.0,0,False,False,voice,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/03/22 23:32,01/03/22 23:32,UNKNOWN,100,,,0,False,False,voice,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/03/22 23:32,01/03/22 23:32,,100,0.0,0.0,0,False,False,voice,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 00:25,01/04/22 00:25,,100,0.0,0.0,0,False,False,voice,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 00:25,01/04/22 00:25,UNKNOWN,100,,,0,False,False,voice,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/03/22 22:24,01/03/22 22:24,Connecticut,100,41.17286,-73.49633,0,True,False,voice,50,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 00:26,01/04/22 00:26,New York,100,41.22256,-73.57165,122.0,True,DIFF_TIME_DIFF_STATE,voice,50,2630832.84 km/h,,UNKNOWN,False,HIGH_VELOCITY,Connecticut,TOWER_JUMP_DETECTION
01/04/22 00:26,01/04/22 00:26,New York,100,41.22256,-73.57165,0.0,True,SAME_TIME_DIFF_STATE,voice,100,0.00 km/h,,UNKNOWN,False,LOCATION_CHANGE_IMPOSSIBLE,UNKNOWN,TOWER_JUMP_DETECTION
01/04/22 01:08,01/04/22 01:08,UNKNOWN,100,,,0,False,False,sms,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 01:08,01/04/22 01:08,UNKNOWN,100,,,0,False,False,sms,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 01:09,01/04/22 01:09,UNKNOWN,100,,,0,False,False,sms,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 01:16,01/04/22 01:16,UNKNOWN,100,,,0,False,False,sms,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 01:16,01/04/22 01:16,UNKNOWN,100,,,0,False,False,sms,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 01:22,01/04/22 01:22,UNKNOWN,100,,,0,False,False,sms,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 01:28,01/04/22 01:28,UNKNOWN,100,,,0,False,False,sms,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 01:28,01/04/22 01:28,UNKNOWN,100,,,0,False,False,sms,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 01:28,01/04/22 01:28,UNKNOWN,100,,,0,False,False,sms,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 01:30,01/04/22 01:30,UNKNOWN,100,,,0,False,False,sms,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 01:33,01/04/22 01:33,UNKNOWN,100,,,0,False,False,sms,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 01:34,01/04/22 01:34,UNKNOWN,100,,,0,False,False,sms,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 15:18,01/04/22 15:18,UNKNOWN,100,,,0,False,False,sms,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 15:22,01/04/22 15:22,,100,0.0,0.0,0,False,False,voice,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 15:23,01/04/22 15:23,,100,0.0,0.0,0,False,False,voice,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 15:23,01/04/22 15:23,UNKNOWN,100,,,0,False,False,voice,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 15:23,01/04/22 15:23,,100,0.0,0.0,0,False,False,voice,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 15:23,01/04/22 15:23,UNKNOWN,100,,,0,False,False,voice,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 15:23,01/04/22 15:23,,100,0.0,0.0,0,False,False,voice,70,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 15:24,01/04/22 15:24,New York,100,41.22256,-73.57165,1.0,True,DIFF_TIME_DIFF_STATE,voice,50,23.07 km/h,,UNKNOWN,False,LOCATION_CHANGE_IMPOSSIBLE,UNKNOWN,TOWER_JUMP_DETECTION
01/04/22 15:24,01/04/22 15:24,New York,100,41.22256,-73.57165,0.0,True,SAME_TIME_DIFF_STATE,voice,50,0.00 km/h,,UNKNOWN,False,LOCATION_CHANGE_IMPOSSIBLE,UNKNOWN,TOWER_JUMP_DETECTION
01/04/22 15:25,01/04/22 15:25,New York,100,41.22256,-73.57165,1.0,True,DIFF_TIME_DIFF_STATE,voice,50,0.00 km/h,,UNKNOWN,False,LOCATION_CHANGE_IMPOSSIBLE,UNKNOWN,TOWER_JUMP_DETECTION
01/04/22 15:36,01/04/22 15:36,Connecticut,100,41.17286,-73.49633,11.0,True,DIFF_TIME_DIFF_STATE,voice,50,237206.24 km/h,,UNKNOWN,False,HIGH_VELOCITY,UNKNOWN,TOWER_JUMP_DETECTION
01/04/22 15:36,01/04/22 15:36,Connecticut,100,41.17286,-73.49633,0.0,True,SAME_TIME_DIFF_STATE,voice,50,0.00 km/h,,UNKNOWN,False,LOCATION_CHANGE_IMPOSSIBLE,UNKNOWN,TOWER_JUMP_DETECTION
01/04/22 19:01,01/04/22 19:01,New York,100,41.19175,-73.55396,205.0,True,DIFF_TIME_DIFF_STATE,voice,50,6577727.51 km/h,,UNKNOWN,False,HIGH_VELOCITY,UNKNOWN,TOWER_JUMP_DETECTION
01/04/22 19:33,01/04/22 19:33,Connecticut,100,41.14646,-73.49169,32.0,True,DIFF_TIME_DIFF_STATE,voice,100,808722.75 km/h,,UNKNOWN,False,HIGH_VELOCITY,UNKNOWN,TOWER_JUMP_DETECTION
01/04/22 21:37,01/04/22 21:37,,100,0.0,0.0,0,False,False,voice,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 21:39,01/04/22 21:39,UNKNOWN,100,,,0,False,False,voice,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 21:39,01/04/22 21:39,,100,0.0,0.0,0,False,False,voice,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 21:40,01/04/22 21:40,,100,0.0,0.0,0,False,False,voice,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 21:48,01/04/22 21:48,,100,0.0,0.0,0,False,False,voice,70,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 23:20,01/04/22 23:20,Connecticut,100,41.14647,-73.49169,92.0,True,DIFF_TIME_DIFF_STATE,voice,100,2125.55 km/h,,UNKNOWN,False,HIGH_VELOCITY,UNKNOWN,TOWER_JUMP_DETECTION
01/05/22 13:52,01/05/22 13:52,,100,0.0,0.0,0,False,False,voice,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/05/22 14:46,01/05/22 14:46,UNKNOWN,100,,,0,False,False,voice,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/05/22 14:46,01/05/22 14:46,UNKNOWN,100,,,0,False,False,voice,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/05/22 14:46,01/05/22 14:46,,100,0.0,0.0,0,False,False,voice,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/05/22 18:50,01/05/22 18:50,,100,0.0,0.0,0,False,False,voice,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/05/22 18:50,01/05/22 18:50,UNKNOWN,100,,,0,False,False,voice,0,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/04/22 23:20,01/04/22 23:20,Connecticut,100,41.14647,-73.49169,0,True,False,voice,50,0.00 km/h,,UNKNOWN,False,NO_CONFLICT,,
01/05/22 18:51,01/05/22 18:51,New York,100,41.22256,-73.57165,1171.0,True,DIFF_TIME_DIFF_STATE,voice,50,20644548.15 km/h,,UNKNOWN,False,HIGH_VELOCITY,Connecticut,TOWER_JUMP_DETECTION
01/05/22 18:51,01/05/22 18:51,New York,100,41.22256,-73.57165,0.0,True,SAME_TIME_DIFF_STATE,voice,50,0.00 km/h,,UNKNOWN,False,LOCATION_CHANGE_IMPOSSIBLE,UNKNOWN,TOWER_JUMP_DETECTION
